Highest_Chart_Position,Number of Times Charted,Song Name,Streams,Artist,Genre,Release_date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration,Valence,Chord,Chord_Category,Charted_Category,Top_Fifty,Artist_Follows
31,19,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,5124606,Nathan Evans,[],1/21/21,83,0.722,0.893,-3.255,0.0475,0.0441,0.0673,119.932,116750,0.439,C,Flat,High,1,140812
9,39,The Business,10739770,Tiësto,['big room' 'brostep' 'dance pop' 'dutch edm' 'edm' 'electro house' 'house' 'pop dance' 'slap house' 'trance' 'tropical house'],9/16/20,90,0.798,0.62,-7.079,0.232,0.414,0.112,120.031,164000,0.235,G#/Ab,Sharp,High,1,5785065
161,2,What Makes You Beautiful,4966428,One Direction,['boy band' 'pop' 'post-teen pop' 'talent show'],5/25/12,82,0.726,0.787,-2.494,0.0737,0.009,0.0596,124.99,199987,0.888,E,Flat,Low,0,22536304
101,7,Con Altura,4961249,ROSALÍA J Balvin El Guincho,['r&b en espanol'],3/28/19,75,0.882,0.689,-4.027,0.124,0.39,0.0501,97.963,161627,0.746,F#/Gb,Sharp,Medium,0,4769627
86,1,Boot,6375562,Apache 207,['german hip hop'],7/31/20,54,0.534,0.565,-7.546,0.307,0.0627,0.112,194.034,193360,0.529,G#/Ab,Sharp,Medium,0,1674348
51,1,Time Flies,9904749,Drake,['canadian hip hop' 'canadian pop' 'hip hop' 'pop rap' 'rap' 'toronto rap'],5/1/20,71,0.864,0.477,-5.786,0.224,0.201,0.182,86.46,192932,0.5,A#/Bb,Sharp,Medium,0,56327031
107,14,Ele É Ele Eu Sou Eu,5380517,Wesley Safadão Os Barões Da Pisadinha,['forro'],11/12/20,73,0.758,0.763,-8.754,0.0768,0.23,0.0703,163.946,155210,0.854,C#/Db,Sharp,Medium,0,9907270
45,20,Daisy,5030670,Ashnikko,['electropop' 'escape room' 'pop'],7/9/20,76,0.834,0.663,-6.143,0.133,0.235,0.372,121.876,146523,0.774,G#/Ab,Sharp,Medium,1,1248499
66,1,west side,9397167,Ariana Grande,['dance pop' 'pop' 'post-teen pop'],10/30/20,62,0.688,0.455,-8.632,0.199,0.186,0.0794,87.865,132279,0.557,B,Flat,Medium,0,67208170
161,1,Do You Hear What I Hear? - Remastered 2006,7149158,Bing Crosby,['adult standards' 'easy listening' 'lounge' 'swing' 'vocal jazz'],1/1/06,44,0.566,0.246,-15.499,0.0276,0.813,0.195,101.529,165667,0.412,A#/Bb,Sharp,Low,0,359973
8,5,Love Story (Taylor’s Version),6202933,Taylor Swift,['pop' 'post-teen pop'],4/9/21,73,0.627,0.792,-4.311,0.031,0.13,0.0845,119.054,235767,0.415,D,Flat,High,1,42227614
152,13,Takeaway,4359727,The Chainsmokers ILLENIUM Lennon Stella,['dance pop' 'edm' 'electropop' 'pop' 'pop dance' 'tropical house'],12/6/19,77,0.528,0.511,-8.144,0.0324,0.126,0.101,100.1,209880,0.351,D#/Eb,Sharp,Low,0,18195884
73,1,War,7821869,Drake,['canadian hip hop' 'canadian pop' 'hip hop' 'pop rap' 'rap' 'toronto rap'],5/1/20,64,0.749,0.792,-4.151,0.0826,0.292,0.109,144.064,180000,0.239,A#/Bb,Sharp,Medium,0,56327031
178,1,Old Town Road,4852004,Lil Nas X,['lgbtq+ hip hop' 'pop rap'],6/21/19,81,0.878,0.619,-5.56,0.102,0.0533,0.113,136.041,157067,0.639,F#/Gb,Sharp,Low,0,5488666
157,1,Mistletoe And Holly - Remastered 1999,7225080,Frank Sinatra,['adult standards' 'easy listening' 'lounge'],9/1/57,38,0.607,0.103,-14.405,0.0404,0.804,0.076,110.378,136427,0.341,A,Flat,Low,0,4953667
71,13,Volta Bebê Volta Neném,5041120,Dj Guuga DJ Ivis,['funk carioca' 'funk paulista' 'rave funk'],3/27/21,79,0.583,0.918,-3.612,0.0518,0.288,0.0701,164.081,172973,0.836,F#/Gb,Sharp,Medium,0,608109
77,2,Your Man,5233336,Joji,['alternative r&b' 'viral pop'],9/24/20,68,0.785,0.818,-8.711,0.099,0.624,0.149,117.98,163759,0.0503,G,Flat,Medium,0,4759367
2,44,Laugh Now Cry Later (feat. Lil Durk),4916860,Drake,['canadian hip hop' 'canadian pop' 'hip hop' 'pop rap' 'rap' 'toronto rap'],8/14/20,83,0.761,0.518,-8.871,0.134,0.244,0.107,133.976,261493,0.522,C,Flat,High,1,56308172
196,1,Mejor,4851895,Dalex Sech,['latin' 'r&b en espanol' 'reggaeton' 'trap latino'],3/19/20,63,0.524,0.577,-4.501,0.18,0.185,0.103,175.396,201361,0.19,D,Flat,Low,0,3600989
83,2,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,9624871,Paul McCartney,['album rock' 'art rock' 'beatlesque' 'classic rock' 'mellow gold' 'rock' 'soft rock'],5/16/80,51,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653,0.771,B,Flat,Medium,0,3609658
47,2,hoax,5375944,Taylor Swift,['pop' 'post-teen pop'],7/24/20,66,0.662,0.181,-15.065,0.0415,0.966,0.133,118.819,220043,0.429,G#/Ab,Sharp,Medium,1,42227614
70,14,Salt,4874960,Ava Max,[],8/13/21,1,0.693,0.835,-3.242,0.0624,0.131,0.073,128.052,180283,0.744,F#/Gb,Sharp,Medium,0,1251372
136,1,Wildflower,5791343,5 Seconds of Summer,['boy band' 'dance pop' 'electropop' 'pop' 'post-teen pop'],3/27/20,65,0.644,0.768,-4.316,0.0455,0.174,0.469,108.992,220536,0.598,F#/Gb,Sharp,Medium,0,7744095
177,1,Afterthought,4977405,Joji BENEE,['alternative r&b' 'viral pop'],9/25/20,67,0.668,0.547,-8.024,0.0353,0.398,0.0931,83.5,194871,0.192,C#/Db,Sharp,Low,0,4759367
21,30,Sigues Con El,4485060,Dímelo Flow Arcangel Sech,['latin' 'perreo' 'reggaeton' 'reggaeton flow' 'trap latino'],12/13/19,75,0.883,0.668,-2.957,0.113,0.11,0.0734,87.972,226533,0.676,A,Flat,High,1,231580
66,1,Tell The Vision (feat. Kanye West & Pusha T),8859168,Pop Smoke,['brooklyn drill'],7/31/21,57,0.662,0.686,-8.302,0.332,0.251,0.349,143.971,215000,0.678,G,Flat,Medium,0,6837946
147,27,I Like Me Better,4430642,Lauv,['dance pop' 'electropop' 'pop' 'post-teen pop'],5/31/18,82,0.752,0.505,-7.621,0.253,0.535,0.104,91.97,197437,0.419,A,Flat,Medium,0,4442273
5,53,Intentions (feat. Quavo),4994138,Justin Bieber,['canadian pop' 'pop' 'post-teen pop'],2/14/20,77,0.806,0.546,-6.637,0.0575,0.3,0.102,147.986,212867,0.874,A,Flat,High,1,48544923
27,4,Bad Boy (with Young Thug),6011642,Juice WRLD,['chicago rap' 'melodic rap'],1/15/21,76,0.697,0.674,-6.326,0.0533,0.00215,0.138,81.535,157355,0.198,C#/Db,Sharp,High,1,19102888
69,1,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),9142721,Tyler The Creator,['hip hop' 'rap'],6/25/21,79,0.468,0.652,-4.912,0.0722,0.333,0.55,140.223,588139,0.39,C,Flat,Medium,0,6777818
109,1,Interlude : Shadow,6655856,BTS,['k-pop' 'k-pop boy group'],2/21/20,68,0.385,0.798,-6.439,0.483,0.115,0.181,149.756,259821,0.141,A,Flat,Medium,0,37151476
149,5,Não Nasceu pra Namorar,4978559,MC Zaquin MC Rick,['funk bh' 'funk carioca'],2/25/21,84,0.525,0.448,-4.075,0.0443,0.14,0.0922,83.406,140308,0.527,C#/Db,Sharp,Medium,0,130627
73,11,LOCATION,4940701,KAROL G Anuel AA J Balvin,[],8/12/21,0,0.772,0.758,-3.891,0.0482,0.0433,0.295,115.977,265240,0.654,A,Flat,Medium,0,1250353
25,5,Film out,7198095,BTS,['k-pop' 'k-pop boy group'],4/1/21,81,0.499,0.709,-6.404,0.134,0.296,0.331,164.032,214621,0.314,A#/Bb,Sharp,High,1,37106176
50,6,Bläulich,4599408,Apache 207,['german hip hop'],7/31/20,60,0.79,0.704,-7.935,0.417,0.069,0.113,154.007,196213,0.212,A#/Bb,Sharp,Medium,1,1674348
82,18,Polvo,5528508,Nicky Jam Myke Towers,['latin' 'latin hip hop' 'reggaeton' 'trap latino'],11/20/20,76,0.763,0.621,-6.169,0.066,0.0105,0.106,82.042,211130,0.582,B,Flat,Medium,0,14831925
53,5,7 Summers,5064504,Morgan Wallen,['contemporary country'],1/8/21,73,0.466,0.786,-5.13,0.0328,0.417,0.125,203.903,210507,0.571,C,Flat,Medium,0,2147875
193,1,Good Without,4998044,Mimi Webb,['alt z' 'indie cafe pop' 'pop' 'uk pop'],3/26/21,81,0.616,0.576,-5.495,0.0532,0.0723,0.375,89.962,182121,0.269,B,Flat,Low,0,130801
122,27,Better Now,4431571,Post Malone,['dfw rap' 'melodic rap' 'rap'],4/27/18,81,0.68,0.578,-5.804,0.04,0.331,0.135,145.038,231267,0.341,A#/Bb,Sharp,Medium,0,33663701
143,42,Moonlight,5003825,XXXTENTACION,['emo rap' 'miami hip hop'],3/16/18,83,0.921,0.537,-5.723,0.0804,0.556,0.102,128.009,135090,0.711,A,Flat,Medium,0,29566516
15,3,i n t e r l u d e,7880155,J. Cole,['conscious hip hop' 'hip hop' 'north carolina hip hop' 'rap'],5/14/21,76,0.77,0.574,-5.525,0.106,0.0617,0.104,98.962,133022,0.104,C#/Db,Sharp,High,1,14097410
75,1,Diamonds Dancing (feat. Travis Scott),7515766,Young Stoner Life Young Thug Gunna,['rap' 'trap'],4/16/21,69,0.851,0.703,-7.351,0.303,0.00949,0.0895,74.017,242600,0.596,E,Flat,Medium,0,61930
110,1,París,6584896,Ingratax,[],7/9/21,86,0.57,0.455,-5.748,0.0996,0.441,0.0654,167.933,151429,0.399,C#/Db,Sharp,Medium,0,56699
24,83,Sunflower - Spider-Man: Into the Spider-Verse,6546948,Post Malone Swae Lee,[],12/14/18,82,0.76,0.479,-5.574,0.0466,0.556,0.0703,89.911,158040,0.913,D,Flat,High,1,1250353
136,1,Mon Ami,5774770,Samra,['german hip hop'],1/29/20,53,0.801,0.731,-3.723,0.383,0.188,0.111,105.666,138409,0.537,G#/Ab,Sharp,Medium,0,1045091
13,83,goosebumps,5691540,Travis Scott,['rap' 'slap house'],1/15/21,87,0.841,0.593,-7.846,0.0379,0.418,0.124,124.917,162803,0.808,C#/Db,Sharp,High,1,17719446
83,1,VACATION,6883487,Tyga,['dance pop' 'hip hop' 'pop rap' 'rap' 'southern hip hop' 'trap'],6/19/20,51,0.821,0.61,-6.22,0.0959,0.0247,0.185,110.973,192936,0.47,C#/Db,Sharp,Medium,0,6298789
19,3,Volando - Remix,16606925,Mora Bad Bunny Sech,['reggaeton' 'trap latino'],7/8/21,91,0.659,0.688,-4.649,0.0673,0.207,0.113,153.979,273474,0.632,F#/Gb,Sharp,High,1,151486
130,11,God's Plan,4565400,Drake,['canadian hip hop' 'canadian pop' 'hip hop' 'pop rap' 'rap' 'toronto rap'],6/29/18,82,0.754,0.449,-9.211,0.109,0.0332,0.552,77.169,198973,0.357,G,Flat,Medium,0,56327031
36,2,Silly Watch,6442451,Lil Uzi Vert,['melodic rap' 'philly rap' 'rap' 'trap'],3/6/20,65,0.903,0.535,-6.238,0.286,0.0298,0.0851,130.117,195692,0.157,G#/Ab,Sharp,High,1,11821805
175,2,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,4912036,Martin Garrix,['dance pop' 'dutch edm' 'edm' 'pop' 'pop dance' 'progressive house' 'tropical house'],5/13/21,82,0.66,0.733,-4.619,0.0359,0.248,0.17,119.933,217000,0.304,C,Flat,Low,0,14917926
195,1,Story of My Life,4628772,One Direction,['boy band' 'pop' 'post-teen pop' 'talent show'],11/25/13,81,0.6,0.663,-5.802,0.0477,0.225,0.119,121.07,245493,0.286,D#/Eb,Sharp,Low,0,22536304
