OverallQual,BedroomAbvGr,CentralAir,BsmtQual,BsmtUnfSF,Fireplaces,YrSold,HouseStyle,HeatingQC,GarageType,RoofMatl,PavedDrive,SaleType,FullBath,OpenPorchSF,RoofStyle,Exterior,Utilities,BsmtFinSF1,Heating,LotInfo,KitchenQual,HalfBath,BsmtFinType1,WoodDeckSF,TotRmsAbvGrd,SalePrice,YearBuilt,BsmtCond,Foundation,Electrical,BldgType,OverallCond,GrLivArea
7,3,Y,Gd,150,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,61,Gable,VinylSd;TA;Gd,AllPub,706,GasA,Inside;Reg;8450;65,Gd,1,GLQ,0,8,208500,2003,TA,PConc,SBrkr,1Fam,5,1710
7,3,Y,Gd,434,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,42,Gable,VinylSd;TA;Gd,AllPub,486,GasA,Inside;IR1;11250;68,Gd,1,GLQ,0,6,223500,2001,TA,PConc,SBrkr,1Fam,5,1786
8,3,Y,Gd,1777,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,159,notGable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;9742;75,Gd,0,Unf,171,7,230000,2002,TA,PConc,SBrkr,1Fam,5,1795
8,3,Y,Ex,1234,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,30,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Corner;Reg;11049;85,Gd,0,Unf,0,7,179900,2007,TA,PConc,SBrkr,1Fam,5,1234
5,3,Y,Gd,167,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,VinylSd;TA;TA,AllPub,280,GasA,CulDSac;IR1;9200;NA,TA,0,BLQ,145,5,130250,1975,TA,CBlock,SBrkr,1Fam,6,938
7,3,Y,Gd,860,0,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,70,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Corner;IR1;11645;89,Gd,1,Unf,0,7,196500,2004,TA,PConc,SBrkr,1Fam,5,1720
5,2,Y,TA,148,0,2008,1Story,Ex,Detchd,CompShg,Y,WD,1,0,Gable,OtherSd;TA;TA,AllPub,632,GasA,Inside;Reg;7200;60,TA,0,ALQ,196,4,124900,1972,TA,CBlock,SBrkr,1Fam,7,780
7,3,Y,Gd,318,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;TA,AllPub,739,GasA,Inside;Reg;9375;NA,Gd,1,GLQ,576,8,219500,1997,TA,PConc,SBrkr,1Fam,5,2034
7,3,Y,Gd,440,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,VinylSd;TA;Gd,AllPub,1013,GasA,Inside;IR1;10665;72,Gd,0,GLQ,144,7,226000,2003,TA,PConc,SBrkr,1Fam,5,1479
4,3,Y,Gd,402,0,2007,1Story,Ex,,CompShg,Y,WD,1,0,Gable,VinylSd;TA;TA,AllPub,588,GasA,Inside;Reg;8070;60,TA,0,GLQ,0,5,123600,1994,TA,PConc,SBrkr,1Fam,5,990
6,3,Y,Gd,176,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,162,Gable,VinylSd;Gd;TA,AllPub,648,GasA,Inside;IR1;9337;69,Gd,1,GLQ,0,7,204750,1997,TA,PConc,SBrkr,1Fam,5,1786
7,3,Y,Gd,1226,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,VinylSd;TA;TA,AllPub,0,GasA,Corner;IR1;10402;94,Gd,0,Unf,0,6,198900,2009,TA,PConc,SBrkr,1Fam,5,1226
7,4,Y,Ex,280,1,2007,2Story,Ex,Attchd,CompShg,Y,notWD,2,184,Gable,VinylSd;TA;Gd,AllPub,984,GasA,Inside;Reg;9965;77,Ex,1,GLQ,120,10,383970,2007,TA,PConc,SBrkr,1Fam,5,2696
6,3,Y,Gd,728,1,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,24,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;8461;65,Gd,1,Unf,0,8,163990,2005,TA,PConc,SBrkr,1Fam,5,1456
7,3,Y,Gd,434,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,24,Gable,VinylSd;TA;Gd,AllPub,1300,GasA,Inside;Reg;11645;78,Gd,0,GLQ,160,7,260000,2005,TA,PConc,SBrkr,1Fam,5,1734
7,3,Y,Gd,811,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,VinylSd;TA;Gd,AllPub,679,GasA,Inside;IR1;10335;78,Gd,0,GLQ,144,6,204000,1999,TA,PConc,SBrkr,1Fam,5,1501
5,3,Y,TA,253,0,2007,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,OtherSd;TA;TA,AllPub,716,GasA,Corner;Reg;10356;120,TA,1,BLQ,0,5,122000,1975,TA,CBlock,SBrkr,1Fam,6,969
7,3,Y,Gd,871,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,35,Gable,VinylSd;TA;Gd,AllPub,560,GasA,Inside;IR1;9017;68,Gd,0,GLQ,0,6,192000,1999,TA,PConc,SBrkr,1Fam,5,1431
5,3,Y,TA,474,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,OtherSd;TA;TA,AllPub,390,GasA,Inside;IR1;7180;60,TA,0,ALQ,0,5,127000,1972,TA,CBlock,SBrkr,1Fam,7,864
6,1,Y,Gd,186,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;Gd,AllPub,662,GasA,Inside;Reg;4438;NA,Gd,0,GLQ,149,3,149000,2004,TA,PConc,SBrkr,Twnhs,5,848
6,3,Y,Gd,311,0,2010,2Story,Ex,Attchd,CompShg,Y,WD,1,36,Gable,OtherSd;TA;TA,AllPub,378,GasA,FR2;IR1;10900;NA,TA,1,GLQ,0,6,161750,1977,TA,CBlock,SBrkr,1Fam,7,1392
7,3,Y,Gd,490,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,98,Gable,VinylSd;TA;Gd,AllPub,946,GasA,Inside;Reg;8450;65,Gd,0,GLQ,139,8,210000,2004,TA,PConc,SBrkr,1Fam,5,1436
7,2,Y,Gd,1498,0,2006,1Story,Ex,Attchd,CompShg,Y,notWD,2,33,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;IR1;8990;73,Gd,0,Unf,351,5,204900,2006,TA,PConc,SBrkr,1Fam,5,1498
7,3,Y,Gd,1390,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,105,Gable,VinylSd;TA;Gd,AllPub,24,GasA,FR2;Reg;8773;65,Gd,0,GLQ,132,6,185500,2004,TA,PConc,SBrkr,1Fam,5,1414
7,3,Y,Gd,840,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,68,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;11317;72,Gd,1,Unf,144,8,180000,2003,TA,PConc,SBrkr,1Fam,5,1668
7,3,Y,Gd,270,1,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,110,Gable,VinylSd;TA;Gd,AllPub,1334,GasA,Inside;Reg;8814;68,Gd,1,GLQ,123,8,220000,2006,TA,PConc,SBrkr,1Fam,5,1604
7,3,Y,Gd,602,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,96,Gable,VinylSd;TA;Gd,AllPub,361,GasA,Inside;Reg;12435;80,Gd,1,GLQ,0,7,231500,2001,TA,PConc,SBrkr,1Fam,5,1792
8,3,Y,Gd,1079,1,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,51,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;15611;120,Gd,1,Unf,0,8,233230,2006,TA,PConc,SBrkr,1Fam,5,1919
5,3,Y,TA,0,0,2006,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,VinylSd;TA;TA,AllPub,894,GasA,Corner;Reg;9800;70,TA,0,ALQ,256,5,149900,1972,TA,PConc,SBrkr,1Fam,7,894
8,3,Y,Gd,536,0,2001,1Story,Ex,Attchd,CompShg,Y,WD,2,0,Gable,OtherSd;TA;Gd,AllPub,1464,GasA,Inside;Reg;10386;80,Gd,0,GLQ,168,8,305900,2004,TA,PConc,SBrkr,1Fam,5,2000
7,3,Y,Gd,726,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,74,Gable,VinylSd;TA;Gd,AllPub,810,GasA,Inside;Reg;9135;70,Gd,0,GLQ,192,7,214000,2002,TA,PConc,SBrkr,1Fam,5,1536
7,4,Y,Gd,847,1,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,48,Gable,VinylSd;TA;Gd,AllPub,0,GasA,Inside;Reg;8200;65,Gd,1,Unf,100,8,219500,2003,TA,PConc,SBrkr,1Fam,5,1928
7,3,Y,Gd,1468,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,25,Gable,VinylSd;TA;Gd,AllPub,0,GasA,CulDSac;IR1;9382;93,Gd,0,Unf,120,6,191000,1999,TA,PConc,SBrkr,1Fam,5,1479
5,2,Y,TA,117,0,2009,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,MetalSd;TA;TA,AllPub,777,GasA,Inside;Reg;7200;60,TA,0,ALQ,215,6,123000,1972,TA,CBlock,SBrkr,1Fam,5,894
7,3,Y,Gd,70,1,2009,2Story,Ex,Attchd,CompShg,Y,notWD,2,61,Gable,VinylSd;TA;Gd,AllPub,385,GasA,CulDSac;IR2;10667;43,Gd,1,GLQ,158,6,212000,1996,TA,PConc,SBrkr,1Fam,6,1661
