Electrical,HeatingQC,BsmtQual,Foundation,RoofMatl,OverallCond,YearBuilt,Utilities,WoodDeckSF,LotInfo,BsmtFinSF1,SaleType,BedroomAbvGr,KitchenQual,HalfBath,RoofStyle,GrLivArea,OpenPorchSF,Heating,Fireplaces,BldgType,OverallQual,BsmtCond,KitchenAbvGr,FullBath,PavedDrive,YrSold,GarageType,CentralAir,Exterior,HouseStyle,SalePrice,TotRmsAbvGrd,BsmtFinType1
Fuse,TA,,PConc,CompShg,5,1955,AllPub,0,Inside;Reg;6040;65,0,WD,2,Fa,0,Gable,1152,0,GasA,0,Duplex,4,NA,2,2,N,2008,,N,OtherSd;TA;TA,1Story,82000,6,
Fuse,TA,TA,CBlock,CompShg,5,1965,AllPub,120,Inside;Reg;10921;73,520,WD,3,TA,0,notGable,960,0,GasA,0,1Fam,4,TA,1,1,P,2007,Attchd,Y,OtherSd;TA;TA,1Story,94750,6,ALQ
SBrkr,Gd,TA,CBlock,CompShg,4,1954,AllPub,182,Inside;Reg;9525;75,444,WD,4,TA,0,Gable,1855,0,GasA,0,1Fam,6,NA,1,2,Y,2006,Attchd,Y,OtherSd;TA;TA,1.5Story,136900,7,ALQ
SBrkr,Gd,Gd,PConc,CompShg,5,2006,AllPub,80,Corner;Reg;8536;74,0,notWD,2,TA,1,Gable,1125,64,GasA,0,1Fam,5,TA,1,1,Y,2007,Attchd,Y,VinylSd;TA;TA,1Story,155000,5,Unf
Fuse,Fa,TA,BrkTil,CompShg,5,1924,AllPub,0,Corner;Reg;9600;60,0,WD,2,TA,0,Gable,1096,8,Grav,0,1Fam,6,TA,1,1,N,2008,,N,OtherSd;TA;TA,1.5Story,79000,5,Unf
SBrkr,Gd,TA,BrkTil,CompShg,7,1940,AllPub,140,Inside;Reg;10106;62,351,WD,4,TA,0,Gable,1355,0,GasA,0,2fmCon,5,TA,2,2,Y,2008,,Y,OtherSd;Gd;TA,1.5Story,127500,6,ALQ
SBrkr,TA,TA,CBlock,CompShg,7,1950,AllPub,0,Corner;Reg;12615;84,477,WD,4,Gd,0,Gable,2158,29,GasA,1,1Fam,6,NA,1,2,Y,2007,Attchd,Y,OtherSd;TA;TA,1Story,243000,7,ALQ
SBrkr,Ex,,PConc,CompShg,6,1957,AllPub,116,Inside;Reg;9060;60,0,WD,3,TA,0,notGable,1340,0,GasA,1,1Fam,5,NA,1,1,Y,2007,Attchd,Y,OtherSd;TA;TA,1Story,120000,7,
SBrkr,Ex,Gd,PConc,CompShg,5,2004,AllPub,0,Inside;Reg;2522;24,0,WD,3,Gd,0,Gable,1709,40,GasA,0,Twnhs,7,TA,1,2,Y,2006,Detchd,Y,VinylSd;TA;Gd,2Story,130000,7,Unf
Fuse,TA,TA,CBlock,CompShg,6,1925,AllPub,0,Inside;Reg;5604;67,468,WD,2,TA,0,Gable,864,0,GasA,0,1Fam,5,TA,1,1,Y,2008,,N,OtherSd;TA;TA,1Story,98000,5,ALQ
SBrkr,Ex,Gd,PConc,CompShg,5,2009,AllPub,100,Corner;Reg;10420;83,36,WD,3,Gd,0,Gable,1212,22,GasA,0,1Fam,6,TA,1,2,Y,2010,Attchd,Y,VinylSd;TA;TA,1Story,186000,6,GLQ
Fuse,TA,TA,CBlock,CompShg,4,1945,AllPub,0,Inside;Reg;8741;52,94,WD,3,TA,1,Gable,1487,140,GasA,1,1Fam,6,NA,1,1,Y,2010,Detchd,Y,VinylSd;TA;TA,1.5Story,113000,7,BLQ
SBrkr,TA,TA,CBlock,CompShg,7,1976,AllPub,370,Corner;IR1;7917;NA,751,WD,3,TA,1,notGable,1113,30,GasA,1,1Fam,6,NA,1,1,Y,2007,Attchd,Y,OtherSd;Gd;TA,1Story,148000,6,BLQ
SBrkr,Gd,TA,CBlock,CompShg,4,1949,AllPub,0,Inside;Reg;11409;60,292,WD,3,TA,1,Gable,1716,0,GasA,1,1Fam,5,TA,1,1,Y,2009,Attchd,Y,OtherSd;TA;TA,1.5Story,131000,8,BLQ
