Foundation,GrLivArea,PavedDrive,RoofStyle,Fireplaces,LotInfo,WoodDeckSF,BldgType,HalfBath,YearBuilt,FullBath,BsmtUnfSF,KitchenQual,BsmtFinType1,CentralAir,SaleType,Electrical,BsmtFinSF1,Exterior,OpenPorchSF,BsmtQual,BsmtCond,RoofMatl,HeatingQC,BedroomAbvGr,SalePrice,YrSold,Heating,OverallQual,KitchenAbvGr,GarageType,HouseStyle,OverallCond,TotRmsAbvGrd,Utilities
BrkTil,1774,Y,Gable,2,Inside;Reg;6120;51,90,1Fam,0,1931,2,952,TA,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,Gd,2,129900,2008,GasA,7,2,Detchd,1.5Story,5,8,AllPub
BrkTil,1452,N,Gable,0,Inside;Reg;4456;33,0,2fmCon,0,1920,2,736,TA,Unf,Y,notWD,SBrkr,0,MetalSd;TA;TA,0,TA,TA,CompShg,Gd,2,113000,2009,GasA,4,3,,2Story,5,8,AllPub
CBlock,747,Y,Gable,0,Corner;Reg;4608;47,0,1Fam,0,1945,1,747,TA,Unf,Y,WD,SBrkr,0,MetalSd;Gd;TA,0,TA,TA,CompShg,TA,2,80000,2010,GasA,4,1,Attchd,1Story,6,4,AllPub
CBlock,1605,Y,notGable,0,Corner;Reg;5790;60,0,1Fam,0,1915,2,840,TA,Unf,N,WD,SBrkr,0,VinylSd;Gd;Gd,0,Fa,TA,CompShg,Gd,3,107400,2010,GasA,3,2,Detchd,2Story,6,8,AllPub
BrkTil,2291,Y,notGable,1,Corner;Reg;7200;60,0,2fmCon,0,1910,2,168,TA,ALQ,N,WD,SBrkr,1046,MetalSd;TA;TA,0,TA,NA,CompShg,Ex,4,133900,2007,GasW,6,2,Detchd,2.5Story,6,9,AllPub
BrkTil,1047,N,notGable,0,Inside;Reg;10800;60,0,1Fam,0,1885,1,641,TA,Unf,Y,WD,SBrkr,0,VinylSd;TA;TA,0,Fa,TA,CompShg,Gd,2,100000,2007,GasA,4,1,Detchd,1Story,7,6,AllPub
CBlock,789,Y,Gable,0,Inside;Reg;6000;50,0,1Fam,0,1948,1,516,TA,ALQ,Y,WD,SBrkr,104,VinylSd;TA;TA,0,TA,TA,CompShg,Ex,2,115000,2008,GasA,5,1,Detchd,1Story,5,5,AllPub
BrkTil,840,N,Gable,1,Inside;IR1;4388;55,0,1Fam,0,1930,1,556,TA,BLQ,Y,WD,SBrkr,116,OtherSd;Gd;TA,0,TA,TA,CompShg,Ex,3,87000,2007,GasA,5,1,,1.5Story,7,5,AllPub
BrkTil,1200,Y,Gable,0,Corner;Reg;11340;84,0,1Fam,0,1923,1,1200,TA,Unf,Y,WD,Fuse,0,OtherSd;TA;TA,0,TA,TA,CompShg,TA,4,125000,2006,GasA,6,1,Detchd,1Story,5,7,AllPub
BrkTil,1616,Y,Gable,0,Corner;Reg;5400;40,0,1Fam,0,1926,2,779,Gd,BLQ,Y,WD,Fuse,370,MetalSd;Gd;TA,0,TA,TA,CompShg,Gd,3,152000,2007,GasA,6,1,Detchd,1Story,7,5,AllPub
