"","OverallQual","BedroomAbvGr","CentralAir","BsmtQual","BsmtUnfSF","Fireplaces","YrSold","HouseStyle","HeatingQC","GarageType","RoofMatl","PavedDrive","SaleType","FullBath","OpenPorchSF","RoofStyle","Utilities","BsmtFinSF1","Heating","KitchenQual","HalfBath","BsmtFinType1","WoodDeckSF","TotRmsAbvGrd","SalePrice","YearBuilt","BsmtCond","Foundation","Electrical","BldgType","OverallCond","GrLivArea","neighborhood","KitchenAbvGr","LotConfig","LotShape","LotArea","LotFrontage","Exterior1st","ExterQual","ExterCond"
"1",7,3,"Y","Gd",150,0,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,61,"Gable","AllPub",706,"GasA","Gd",1,"GLQ",0,8,208500,2003,"TA","PConc","SBrkr","1Fam",5,1710,"CollegeCr",1,"Inside","Reg",8450,65,"VinylSd","TA","Gd"
"2",7,3,"Y","Gd",434,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,42,"Gable","AllPub",486,"GasA","Gd",1,"GLQ",0,6,223500,2001,"TA","PConc","SBrkr","1Fam",5,1786,"CollegeCr",1,"Inside","IR1",11250,68,"VinylSd","TA","Gd"
"3",8,3,"Y","Gd",1777,1,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,159,"notGable","AllPub",0,"GasA","Gd",0,"Unf",171,7,230000,2002,"TA","PConc","SBrkr","1Fam",5,1795,"CollegeCr",1,"Inside","Reg",9742,75,"VinylSd","TA","Gd"
"4",8,3,"Y","Ex",1234,0,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,30,"Gable","AllPub",0,"GasA","Gd",0,"Unf",0,7,179900,2007,"TA","PConc","SBrkr","1Fam",5,1234,"CollegeCr",1,"Corner","Reg",11049,85,"VinylSd","TA","Gd"
"5",5,3,"Y","Gd",167,0,2008,"1Story","TA","Detchd","CompShg","Y","WD",1,0,"notGable","AllPub",280,"GasA","TA",0,"BLQ",145,5,130250,1975,"TA","CBlock","SBrkr","1Fam",6,938,"CollegeCr",1,"CulDSac","IR1",9200,65,"VinylSd","TA","TA"
"6",7,3,"Y","Gd",860,0,2006,"2Story","Ex","Attchd","CompShg","Y","WD",2,70,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,7,196500,2004,"TA","PConc","SBrkr","1Fam",5,1720,"CollegeCr",1,"Corner","IR1",11645,89,"VinylSd","TA","Gd"
"7",5,2,"Y","TA",148,0,2008,"1Story","Ex","Detchd","CompShg","Y","WD",1,0,"Gable","AllPub",632,"GasA","TA",0,"ALQ",196,4,124900,1972,"TA","CBlock","SBrkr","1Fam",7,780,"CollegeCr",1,"Inside","Reg",7200,60,"OtherSd","TA","TA"
"8",7,3,"Y","Gd",318,0,2009,"2Story","Ex","Attchd","CompShg","Y","WD",2,36,"Gable","AllPub",739,"GasA","Gd",1,"GLQ",576,8,219500,1997,"TA","PConc","SBrkr","1Fam",5,2034,"CollegeCr",1,"Inside","Reg",9375,65,"VinylSd","TA","TA"
"9",7,3,"Y","Gd",440,0,2007,"1Story","Ex","Attchd","CompShg","Y","WD",2,29,"Gable","AllPub",1013,"GasA","Gd",0,"GLQ",144,7,226000,2003,"TA","PConc","SBrkr","1Fam",5,1479,"CollegeCr",1,"Inside","IR1",10665,72,"VinylSd","TA","Gd"
"10",4,3,"Y","Gd",402,0,2007,"1Story","Ex","","CompShg","Y","WD",1,0,"Gable","AllPub",588,"GasA","TA",0,"GLQ",0,5,123600,1994,"TA","PConc","SBrkr","1Fam",5,990,"CollegeCr",1,"Inside","Reg",8070,60,"VinylSd","TA","TA"
"11",6,3,"Y","Gd",176,0,2007,"2Story","Ex","Attchd","CompShg","Y","WD",2,162,"Gable","AllPub",648,"GasA","Gd",1,"GLQ",0,7,204750,1997,"TA","PConc","SBrkr","1Fam",5,1786,"CollegeCr",1,"Inside","IR1",9337,69,"VinylSd","Gd","TA"
"12",7,3,"Y","Gd",1226,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,36,"Gable","AllPub",0,"GasA","Gd",0,"Unf",0,6,198900,2009,"TA","PConc","SBrkr","1Fam",5,1226,"CollegeCr",1,"Corner","IR1",10402,94,"VinylSd","TA","TA"
"13",7,4,"Y","Ex",280,1,2007,"2Story","Ex","Attchd","CompShg","Y","notWD",2,184,"Gable","AllPub",984,"GasA","Ex",1,"GLQ",120,10,383970,2007,"TA","PConc","SBrkr","1Fam",5,2696,"CollegeCr",1,"Inside","Reg",9965,77,"VinylSd","TA","Gd"
"14",6,3,"Y","Gd",728,1,2006,"2Story","Ex","Attchd","CompShg","Y","notWD",2,24,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,8,163990,2005,"TA","PConc","SBrkr","1Fam",5,1456,"CollegeCr",1,"Inside","Reg",8461,65,"VinylSd","TA","Gd"
"15",7,3,"Y","Gd",434,0,2006,"1Story","Ex","Attchd","CompShg","Y","WD",2,24,"Gable","AllPub",1300,"GasA","Gd",0,"GLQ",160,7,260000,2005,"TA","PConc","SBrkr","1Fam",5,1734,"CollegeCr",1,"Inside","Reg",11645,78,"VinylSd","TA","Gd"
"16",7,3,"Y","Gd",811,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,29,"Gable","AllPub",679,"GasA","Gd",0,"GLQ",144,6,204000,1999,"TA","PConc","SBrkr","1Fam",5,1501,"CollegeCr",1,"Inside","IR1",10335,78,"VinylSd","TA","Gd"
"17",5,3,"Y","TA",253,0,2007,"1Story","TA","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",716,"GasA","TA",1,"BLQ",0,5,122000,1975,"TA","CBlock","SBrkr","1Fam",6,969,"CollegeCr",1,"Corner","Reg",10356,120,"OtherSd","TA","TA"
"18",7,3,"Y","Gd",871,0,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,35,"Gable","AllPub",560,"GasA","Gd",0,"GLQ",0,6,192000,1999,"TA","PConc","SBrkr","1Fam",5,1431,"CollegeCr",1,"Inside","IR1",9017,68,"VinylSd","TA","Gd"
"19",5,3,"Y","TA",474,0,2008,"1Story","TA","Detchd","CompShg","Y","WD",1,0,"notGable","AllPub",390,"GasA","TA",0,"ALQ",0,5,127000,1972,"TA","CBlock","SBrkr","1Fam",7,864,"CollegeCr",1,"Inside","IR1",7180,60,"OtherSd","TA","TA"
"20",6,1,"Y","Gd",186,1,2008,"1Story","Ex","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",662,"GasA","Gd",0,"GLQ",149,3,149000,2004,"TA","PConc","SBrkr","Twnhs",5,848,"CollegeCr",1,"Inside","Reg",4438,65,"VinylSd","TA","Gd"
"21",6,3,"Y","Gd",311,0,2010,"2Story","Ex","Attchd","CompShg","Y","WD",1,36,"Gable","AllPub",378,"GasA","TA",1,"GLQ",0,6,161750,1977,"TA","CBlock","SBrkr","1Fam",7,1392,"CollegeCr",1,"FR2","IR1",10900,65,"OtherSd","TA","TA"
"22",7,3,"Y","Gd",490,0,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,98,"Gable","AllPub",946,"GasA","Gd",0,"GLQ",139,8,210000,2004,"TA","PConc","SBrkr","1Fam",5,1436,"CollegeCr",1,"Inside","Reg",8450,65,"VinylSd","TA","Gd"
"23",7,2,"Y","Gd",1498,0,2006,"1Story","Ex","Attchd","CompShg","Y","notWD",2,33,"Gable","AllPub",0,"GasA","Gd",0,"Unf",351,5,204900,2006,"TA","PConc","SBrkr","1Fam",5,1498,"CollegeCr",1,"Inside","IR1",8990,73,"VinylSd","TA","Gd"
"24",7,3,"Y","Gd",1390,0,2010,"1Story","Ex","Attchd","CompShg","Y","WD",2,105,"Gable","AllPub",24,"GasA","Gd",0,"GLQ",132,6,185500,2004,"TA","PConc","SBrkr","1Fam",5,1414,"CollegeCr",1,"FR2","Reg",8773,65,"VinylSd","TA","Gd"
"25",7,3,"Y","Gd",840,0,2007,"2Story","Ex","Attchd","CompShg","Y","WD",2,68,"Gable","AllPub",0,"GasA","Gd",1,"Unf",144,8,180000,2003,"TA","PConc","SBrkr","1Fam",5,1668,"CollegeCr",1,"Inside","Reg",11317,72,"VinylSd","TA","Gd"
"26",7,3,"Y","Gd",270,1,2009,"1Story","Ex","Attchd","CompShg","Y","WD",2,110,"Gable","AllPub",1334,"GasA","Gd",1,"GLQ",123,8,220000,2006,"TA","PConc","SBrkr","1Fam",5,1604,"CollegeCr",1,"Inside","Reg",8814,68,"VinylSd","TA","Gd"
"27",7,3,"Y","Gd",602,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,96,"Gable","AllPub",361,"GasA","Gd",1,"GLQ",0,7,231500,2001,"TA","PConc","SBrkr","1Fam",5,1792,"CollegeCr",1,"Inside","Reg",12435,80,"VinylSd","TA","Gd"
"28",8,3,"Y","Gd",1079,1,2006,"2Story","Ex","Attchd","CompShg","Y","notWD",2,51,"Gable","AllPub",0,"GasA","Gd",1,"Unf",0,8,233230,2006,"TA","PConc","SBrkr","1Fam",5,1919,"CollegeCr",1,"Inside","Reg",15611,120,"VinylSd","TA","Gd"
"29",5,3,"Y","TA",0,0,2006,"1Story","TA","Attchd","CompShg","Y","WD",1,0,"Gable","AllPub",894,"GasA","TA",0,"ALQ",256,5,149900,1972,"TA","PConc","SBrkr","1Fam",7,894,"CollegeCr",1,"Corner","Reg",9800,70,"VinylSd","TA","TA"
"30",8,3,"Y","Gd",536,0,2001,"1Story","Ex","Attchd","CompShg","Y","WD",2,0,"Gable","AllPub",1464,"GasA","Gd",0,"GLQ",168,8,305900,2004,"TA","PConc","SBrkr","1Fam",5,2000,"CollegeCr",1,"Inside","Reg",10386,80,"OtherSd","TA","Gd"
"31",7,3,"Y","Gd",726,0,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,74,"Gable","AllPub",810,"GasA","Gd",0,"GLQ",192,7,214000,2002,"TA","PConc","SBrkr","1Fam",5,1536,"CollegeCr",1,"Inside","Reg",9135,70,"VinylSd","TA","Gd"
"32",7,4,"Y","Gd",847,1,2007,"2Story","Ex","Attchd","CompShg","Y","WD",2,48,"Gable","AllPub",0,"GasA","Gd",1,"Unf",100,8,219500,2003,"TA","PConc","SBrkr","1Fam",5,1928,"CollegeCr",1,"Inside","Reg",8200,65,"VinylSd","TA","Gd"
"33",7,3,"Y","Gd",1468,0,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,25,"Gable","AllPub",0,"GasA","Gd",0,"Unf",120,6,191000,1999,"TA","PConc","SBrkr","1Fam",5,1479,"CollegeCr",1,"CulDSac","IR1",9382,93,"VinylSd","TA","Gd"
"34",5,2,"Y","TA",117,0,2009,"1Story","TA","Detchd","CompShg","Y","WD",1,0,"notGable","AllPub",777,"GasA","TA",0,"ALQ",215,6,123000,1972,"TA","CBlock","SBrkr","1Fam",5,894,"CollegeCr",1,"Inside","Reg",7200,60,"MetalSd","TA","TA"
"35",7,3,"Y","Gd",70,1,2009,"2Story","Ex","Attchd","CompShg","Y","notWD",2,61,"Gable","AllPub",385,"GasA","Gd",1,"GLQ",158,6,212000,1996,"TA","PConc","SBrkr","1Fam",6,1661,"CollegeCr",1,"CulDSac","IR2",10667,43,"VinylSd","TA","Gd"
"36",7,4,"Y","Gd",273,1,2008,"2Story","Ex","Attchd","CompShg","Y","WD",2,133,"Gable","AllPub",642,"GasA","Gd",1,"GLQ",144,8,210000,1994,"TA","PConc","SBrkr","1Fam",5,1908,"CollegeCr",1,"Inside","Reg",8750,70,"VinylSd","Gd","Gd"
"37",5,3,"Y","Gd",424,0,2009,"1Story","TA","","CompShg","Y","WD",2,0,"Gable","AllPub",616,"GasA","TA",0,"ALQ",0,5,124000,1978,"TA","CBlock","SBrkr","1Fam",5,1040,"CollegeCr",1,"Inside","Reg",8430,60,"OtherSd","TA","TA"
"38",6,3,"Y","Gd",484,1,2008,"1Story","Ex","Attchd","CompShg","Y","WD",2,39,"Gable","AllPub",994,"GasA","Gd",0,"GLQ",140,7,208900,1997,"TA","PConc","SBrkr","1Fam",5,1493,"CollegeCr",1,"Inside","Reg",13125,75,"VinylSd","TA","TA"
