OverallQual,BedroomAbvGr,CentralAir,BsmtQual,BsmtUnfSF,Fireplaces,YrSold,HouseStyle,HeatingQC,GarageType,RoofMatl,PavedDrive,SaleType,FullBath,OpenPorchSF,RoofStyle,Utilities,BsmtFinSF1,Heating,KitchenQual,HalfBath,BsmtFinType1,WoodDeckSF,TotRmsAbvGrd,SalePrice,YearBuilt,BsmtCond,Foundation,Electrical,BldgType,OverallCond,GrLivArea,neighborhood,KitchenAbvGr,uniqueID,LotConfig,LotShape,LotArea,LotFrontage,Exterior1st,ExterQual,ExterCond
7,3,Y,Gd,150.0,0,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,61,Gable,AllPub,706,GasA,Gd,1,GLQ,0,8,208500.0,2003,TA,PConc,SBrkr,1Fam,5,1710,CollegeCr,1,train,Inside,Reg,8450,65.0,VinylSd,TA,Gd
7,3,Y,Gd,434.0,1,2008,2Story,Ex,Attchd,CompShg,Y,WD,2,42,Gable,AllPub,486,GasA,Gd,1,GLQ,0,6,223500.0,2001,TA,PConc,SBrkr,1Fam,5,1786,CollegeCr,1,train,Inside,IR1,11250,68.0,VinylSd,TA,Gd
8,3,Y,Gd,1777.0,1,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,159,notGable,AllPub,0,GasA,Gd,0,Unf,171,7,230000.0,2002,TA,PConc,SBrkr,1Fam,5,1795,CollegeCr,1,train,Inside,Reg,9742,75.0,VinylSd,TA,Gd
8,3,Y,Ex,1234.0,0,2008,1Story,Ex,Attchd,CompShg,Y,WD,2,30,Gable,AllPub,0,GasA,Gd,0,Unf,0,7,179900.0,2007,TA,PConc,SBrkr,1Fam,5,1234,CollegeCr,1,train,Corner,Reg,11049,85.0,VinylSd,TA,Gd
5,3,Y,Gd,167.0,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,AllPub,280,GasA,TA,0,BLQ,145,5,130250.0,1975,TA,CBlock,SBrkr,1Fam,6,938,CollegeCr,1,train,CulDSac,IR1,9200,70.0,VinylSd,TA,TA
7,3,Y,Gd,860.0,0,2006,2Story,Ex,Attchd,CompShg,Y,WD,2,70,Gable,AllPub,0,GasA,Gd,1,Unf,0,7,196500.0,2004,TA,PConc,SBrkr,1Fam,5,1720,CollegeCr,1,train,Corner,IR1,11645,89.0,VinylSd,TA,Gd
5,2,Y,TA,148.0,0,2008,1Story,Ex,Detchd,CompShg,Y,WD,1,0,Gable,AllPub,632,GasA,TA,0,ALQ,196,4,124900.0,1972,TA,CBlock,SBrkr,1Fam,7,780,CollegeCr,1,train,Inside,Reg,7200,60.0,OtherSd,TA,TA
7,3,Y,Gd,318.0,0,2009,2Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,739,GasA,Gd,1,GLQ,576,8,219500.0,1997,TA,PConc,SBrkr,1Fam,5,2034,CollegeCr,1,train,Inside,Reg,9375,70.0,VinylSd,TA,TA
7,3,Y,Gd,440.0,0,2007,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,AllPub,1013,GasA,Gd,0,GLQ,144,7,226000.0,2003,TA,PConc,SBrkr,1Fam,5,1479,CollegeCr,1,train,Inside,IR1,10665,72.0,VinylSd,TA,Gd
4,3,Y,Gd,402.0,0,2007,1Story,Ex,NA,CompShg,Y,WD,1,0,Gable,AllPub,588,GasA,TA,0,GLQ,0,5,123600.0,1994,TA,PConc,SBrkr,1Fam,5,990,CollegeCr,1,train,Inside,Reg,8070,60.0,VinylSd,TA,TA
6,3,Y,Gd,176.0,0,2007,2Story,Ex,Attchd,CompShg,Y,WD,2,162,Gable,AllPub,648,GasA,Gd,1,GLQ,0,7,204750.0,1997,TA,PConc,SBrkr,1Fam,5,1786,CollegeCr,1,train,Inside,IR1,9337,69.0,VinylSd,Gd,TA
7,3,Y,Gd,1226.0,0,2010,1Story,Ex,Attchd,CompShg,Y,WD,2,36,Gable,AllPub,0,GasA,Gd,0,Unf,0,6,198900.0,2009,TA,PConc,SBrkr,1Fam,5,1226,CollegeCr,1,train,Corner,IR1,10402,94.0,VinylSd,TA,TA
7,4,Y,Ex,280.0,1,2007,2Story,Ex,Attchd,CompShg,Y,notWD,2,184,Gable,AllPub,984,GasA,Ex,1,GLQ,120,10,383970.0,2007,TA,PConc,SBrkr,1Fam,5,2696,CollegeCr,1,train,Inside,Reg,9965,77.0,VinylSd,TA,Gd
6,3,Y,Gd,728.0,1,2006,2Story,Ex,Attchd,CompShg,Y,notWD,2,24,Gable,AllPub,0,GasA,Gd,1,Unf,0,8,163990.0,2005,TA,PConc,SBrkr,1Fam,5,1456,CollegeCr,1,train,Inside,Reg,8461,65.0,VinylSd,TA,Gd
7,3,Y,Gd,434.0,0,2006,1Story,Ex,Attchd,CompShg,Y,WD,2,24,Gable,AllPub,1300,GasA,Gd,0,GLQ,160,7,260000.0,2005,TA,PConc,SBrkr,1Fam,5,1734,CollegeCr,1,train,Inside,Reg,11645,78.0,VinylSd,TA,Gd
7,3,Y,Gd,811.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,29,Gable,AllPub,679,GasA,Gd,0,GLQ,144,6,204000.0,1999,TA,PConc,SBrkr,1Fam,5,1501,CollegeCr,1,train,Inside,IR1,10335,78.0,VinylSd,TA,Gd
5,3,Y,TA,253.0,0,2007,1Story,TA,Attchd,CompShg,Y,WD,1,0,Gable,AllPub,716,GasA,TA,1,BLQ,0,5,122000.0,1975,TA,CBlock,SBrkr,1Fam,6,969,CollegeCr,1,train,Corner,Reg,10356,120.0,OtherSd,TA,TA
7,3,Y,Gd,871.0,0,2009,1Story,Ex,Attchd,CompShg,Y,WD,2,35,Gable,AllPub,560,GasA,Gd,0,GLQ,0,6,192000.0,1999,TA,PConc,SBrkr,1Fam,5,1431,CollegeCr,1,train,Inside,IR1,9017,68.0,VinylSd,TA,Gd
5,3,Y,TA,474.0,0,2008,1Story,TA,Detchd,CompShg,Y,WD,1,0,notGable,AllPub,390,GasA,TA,0,ALQ,0,5,127000.0,1972,TA,CBlock,SBrkr,1Fam,7,864,CollegeCr,1,train,Inside,IR1,7180,60.0,OtherSd,TA,TA
